document_id,clean_text,sentiment
0,carrier activate unpaid overdue charges unusable,negative
1,certified dead pixels flickering,negative
2,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,neutral
3,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,negative
4,scared go wrong looks doesnt 1 100 recommend,positive
5,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,negative
6,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,positive
7,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,positive
8,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,neutral
9,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,neutral
10,carrier activate unpaid overdue charges unusable,negative
11,certified dead pixels flickering,neutral
12,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,negative
13,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,negative
14,scared go wrong looks doesnt 1 100 recommend,neutral
15,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,negative
16,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,positive
17,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,negative
18,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,positive
19,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,positive
20,carrier activate unpaid overdue charges unusable,neutral
21,certified dead pixels flickering,neutral
22,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,negative
23,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,neutral
24,scared go wrong looks doesnt 1 100 recommend,negative
25,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,negative
26,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,neutral
27,expected refurbished phone,negative
28,damaged locked phone ,positive
29,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,negative
30,carrier activate unpaid overdue charges unusable,positive
31,certified dead pixels flickering,positive
32,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,neutral
33,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,neutral
34,scared go wrong looks doesnt 1 100 recommend,negative
35,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,neutral
36,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,negative
37,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,negative
38,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,neutral
39,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,negative
40,carrier activate unpaid overdue charges unusable,positive
41,certified dead pixels flickering,negative
42,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,positive
43,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,positive
44,scared go wrong looks doesnt 1 100 recommend,neutral
45,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,neutral
46,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,negative
47,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,neutral
48,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,negative
49,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,negative
50,carrier activate unpaid overdue charges unusable,neutral
51,certified dead pixels flickering,negative
52,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,positive
53,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,negative
54,scared go wrong looks doesnt 1 100 recommend,positive
55,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,positive
56,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,neutral
57,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,neutral
58,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,negative
59,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,neutral
60,carrier activate unpaid overdue charges unusable,negative
61,certified dead pixels flickering,negative
62,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,neutral
63,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,negative
64,scared go wrong looks doesnt 1 100 recommend,positive
65,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,negative
66,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,positive
67,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,positive
68,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,neutral
69,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,neutral
70,carrier activate unpaid overdue charges unusable,negative
71,certified dead pixels flickering,neutral
72,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,negative
73,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,negative
74,scared go wrong looks doesnt 1 100 recommend,neutral
75,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,negative
76,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,positive
77,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,negative
78,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,positive
79,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,positive
80,carrier activate unpaid overdue charges unusable,neutral
81,certified dead pixels flickering,neutral
82,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,negative
83,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,neutral
84,scared go wrong looks doesnt 1 100 recommend,negative
85,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,negative
86,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,neutral
87,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,negative
88,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,positive
89,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,negative
90,carrier activate unpaid overdue charges unusable,positive
91,certified dead pixels flickering,positive
92,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,neutral
93,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,neutral
94,scared go wrong looks doesnt 1 100 recommend,negative
95,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,neutral
96,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,negative
97,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,negative
98,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,neutral
99,first received thought okay perfect condition sight turned tmobile confused supposed bring would use turned use even carrier sprint seemed okay first actually everyone saying texts notifications fitbit thought weird didnt think much best texted 5 1 posted facebook asking anyone else message reply told realized receiving went back sprint could help already restart delete nothing worked told problem return buy onetoday driving listening spotify stops starts life pause started looked recently majority looked playlists 60 added playlists moment hacked went emails saw multiple people signing activated helped someone across world get login information change every passwords especially bank information tomorrow calling bank inform happeneddo cheap reason anything ever always bought problem especially telling would known people could broken lot spotify else gotten mine,negative
100,carrier activate unpaid overdue charges unusable,positive
101,certified dead pixels flickering,negative
102,arrived cracked corner unlock button soft mushy considered back glass replaced startup displays logoi paid online 15 unlock contract total waste moneyi wish checked reviews scam,positive
103,used renewed private seller selling activate verizon ive moved seems previously paired spectrum network protector advertised included consider huge plastic covered protector pictured,positive
104,scared go wrong looks doesnt 1 100 recommend,neutral
105,fine factory opens every specific apps installed deleted verizon works guess technically feels sketchythe doesn’t quite apps whatsapp weird calls don’t person line sometimes hears voice normally sometimes electronifiedso sure don’t think refurbishing aren’t,neutral
106,renewed looks feels brand less exception tape manuals chargers headphones usb piece brand working manufacturer working great saved much money,negative
107,works far currently spending check areas seems good 4 star rating wanted get earphone good buy,neutral
108,pray exercising corporate selling someones stolen cuz theres nothing wrong certified wiped dropped cricket booted worked away week message saying erase bloatware install stuff without data checked online legit problems great half price yeah believer,negative
